2025-06-28 23:28:30 | 系统信息 | === 系统信息记录 ===
2025-06-28 23:28:30 | 系统信息 | 操作系统: Windows 10 Version 2009
2025-06-28 23:28:30 | 系统信息 | 架构: x86_64
2025-06-28 23:28:30 | 系统信息 | 内核类型: winnt
2025-06-28 23:28:30 | 系统信息 | 内核版本: 10.0.26100
2025-06-28 23:28:30 | 系统信息 | 主机名: DAC1
2025-06-28 23:28:30 | 系统信息 | Qt版本: 5.15.2
2025-06-28 23:28:30 | 系统信息 | === 系统信息记录完成 ===
2025-06-28 23:28:30 | 系统信息 | 系统信息: Windows 10 Version 2009 x86_64 (32位)
2025-06-28 23:28:30 | 系统信息 | Qt版本: 5.15.2
2025-06-28 23:28:30 | 系统信息 | 应用程序架构: 32位
2025-06-28 23:28:30 | 系统信息 | CEF目标版本: 75.1.16+g16a67c4+chromium-75.0.3770.100
2025-06-28 23:28:30 | 系统信息 | 兼容性级别: 现代系统
2025-06-28 23:30:00 | 系统信息 | === 系统信息记录 ===
2025-06-28 23:30:00 | 系统信息 | 操作系统: Windows 10 Version 2009
2025-06-28 23:30:00 | 系统信息 | 架构: x86_64
2025-06-28 23:30:00 | 系统信息 | 内核类型: winnt
2025-06-28 23:30:00 | 系统信息 | 内核版本: 10.0.26100
2025-06-28 23:30:00 | 系统信息 | 主机名: DAC1
2025-06-28 23:30:00 | 系统信息 | Qt版本: 5.15.2
2025-06-28 23:30:00 | 系统信息 | === 系统信息记录完成 ===
2025-06-28 23:30:00 | 系统信息 | 系统信息: Windows 10 Version 2009 x86_64 (32位)
2025-06-28 23:30:00 | 系统信息 | Qt版本: 5.15.2
2025-06-28 23:30:00 | 系统信息 | 应用程序架构: 32位
2025-06-28 23:30:00 | 系统信息 | CEF目标版本: 75.1.16+g16a67c4+chromium-75.0.3770.100
2025-06-28 23:30:00 | 系统信息 | 兼容性级别: 现代系统
2025-06-28 23:31:17 | 系统信息 | === 系统信息记录 ===
2025-06-28 23:31:17 | 系统信息 | 操作系统: Windows 10 Version 2009
2025-06-28 23:31:17 | 系统信息 | 架构: x86_64
2025-06-28 23:31:17 | 系统信息 | 内核类型: winnt
2025-06-28 23:31:17 | 系统信息 | 内核版本: 10.0.26100
2025-06-28 23:31:17 | 系统信息 | 主机名: DAC1
2025-06-28 23:31:17 | 系统信息 | Qt版本: 5.15.2
2025-06-28 23:31:17 | 系统信息 | === 系统信息记录完成 ===
2025-06-28 23:31:17 | 系统信息 | 系统信息: Windows 10 Version 2009 x86_64 (32位)
2025-06-28 23:31:17 | 系统信息 | Qt版本: 5.15.2
2025-06-28 23:31:17 | 系统信息 | 应用程序架构: 32位
2025-06-28 23:31:17 | 系统信息 | CEF目标版本: 75.1.16+g16a67c4+chromium-75.0.3770.100
2025-06-28 23:31:17 | 系统信息 | 兼容性级别: 现代系统
